,CHORRILLOS,ACOBAMBA,MINA COLQUI,PUCRO,TINGO,SHEQUE,LA QUISHA,CARAMPOMA,MILLOC,LA PIRHUA,BELLAVISTA,CASAPALCA,RIO BLANCO,AUTISHA,SAN JOSE DE PARAC,TAMBORAQUE,MATUCANA,SANTA EULALIA,CANCHACALLA,CHAUTE,LIMATAMBO,CHOSICA,CHOSICA,LA CANTUTA, ANA,SANTA CLARA,RIMAC,SAN MARCOS,VON HUMBOLDT,CAMPO DE MARTE,MODELO CAMPO DE MARTE,HIPOLITO UNANUE,LAS PALMAS,LINCE,TICLIO
X252.5,83.6747207641602,53.361198425293,47.5898399353027,43.1371154785156,58.7018241882324,58.7018241882324,58.7018241882324,62.0544052124023,43.1371154785156,50.9179992675781,47.0876770019531,47.0876770019531,58.6125335693359,75.2768783569336,59.5332641601562,64.5069198608398,75.4174346923828,93.8928375244141,79.4625091552734,88.7583160400391,89.8187561035156,93.8988189697266,93.8988189697266,93.8988189697266,92.5415802001953,92.6314544677734,89.8187561035156,89.8187561035156,90.7622604370117,89.8187561035156,89.8187561035156,89.8187561035156,83.6747207641602,89.8187561035156,47.0876770019531
X253.5,71.0053634643555,46.0693130493164,40.8187103271484,36.9542922973633,50.5111236572266,50.5111236572266,50.5111236572266,53.3811454772949,36.9542922973633,43.6584815979004,40.289680480957,40.289680480957,50.5081367492676,64.7118301391602,51.1529960632324,55.5561714172363,65.5172119140625,77.8796463012695,67.6054000854492,74.5770416259766,75.5871810913086,77.2066955566406,77.2066955566406,77.2066955566406,75.5620574951172,74.7051315307617,75.5871810913086,75.5871810913086,74.1560211181641,75.5871810913086,75.5871810913086,75.5871810913086,71.0053634643555,75.5871810913086,40.289680480957
X254.5,80.9270553588867,50.5796546936035,44.0032806396484,38.701717376709,56.2490463256836,56.2490463256836,56.2490463256836,58.8845901489258,38.701717376709,48.0733299255371,43.7705116271973,43.7705116271973,56.70751953125,72.1118316650391,58.1555404663086,63.775936126709,75.5210037231445,89.6941833496094,77.9479064941406,86.2475280761719,86.56201171875,88.2299270629883,88.2299270629883,88.2299270629883,85.8957977294922,84.6453857421875,86.56201171875,86.56201171875,83.9545059204102,86.56201171875,86.56201171875,86.56201171875,80.9270553588867,86.56201171875,43.7705116271973
X255.5,85.4655990600586,56.8914451599121,49.9481315612793,43.9664764404297,63.2390747070312,63.2390747070312,63.2390747070312,66.03173828125,43.9664764404297,54.1558723449707,50.1008720397949,50.1008720397949,64.1527099609375,78.4475173950195,65.0673065185547,71.7157440185547,82.269172668457,96.5676345825195,84.9710693359375,93.0934524536133,91.0942764282227,95.1904830932617,95.1904830932617,95.1904830932617,92.760009765625,91.8486633300781,91.0942764282227,91.0942764282227,89.5231475830078,91.0942764282227,91.0942764282227,91.0942764282227,85.4655990600586,91.0942764282227,50.1008720397949
X256.5,93.6960067749023,66.2317962646484,57.6270942687988,50.3833847045898,73.7356643676758,73.7356643676758,73.7356643676758,76.7735595703125,50.3833847045898,62.8606452941895,58.0230865478516,58.0230865478516,74.2125244140625,90.9377517700195,75.6422119140625,83.2941513061523,95.078727722168,111.057220458984,98.2379913330078,107.533340454102,102.173873901367,109.402847290039,109.402847290039,109.402847290039,106.926826477051,106.266189575195,102.173873901367,102.173873901367,103.147132873535,102.173873901367,102.173873901367,102.173873901367,93.6960067749023,102.173873901367,58.0230865478516
X257.5,98.698371887207,69.3481750488281,61.6449203491211,55.2712631225586,76.8656234741211,76.8656234741211,76.8656234741211,80.4900665283203,55.2712631225586,66.1790084838867,62.1081199645996,62.1081199645996,77.290397644043,95.1819152832031,77.6287231445312,85.8381958007812,97.2473678588867,114.620681762695,101.995544433594,110.565704345703,106.285942077637,113.436126708984,113.436126708984,113.436126708984,112.014221191406,112.295349121094,106.285942077637,106.285942077637,108.320487976074,106.285942077637,106.285942077637,106.285942077637,98.698371887207,106.285942077637,62.1081199645996
X258.5,111.66202545166,72.8440399169922,65.1027450561523,59.0139427185059,81.135612487793,81.135612487793,81.135612487793,85.7334899902344,59.0139427185059,70.0280685424805,66.7313003540039,66.7313003540039,82.9767990112305,101.999855041504,81.7422714233398,91.9451904296875,102.869476318359,125.809204101562,111.037895202637,120.801467895508,119.471504211426,124.73070526123,124.73070526123,124.73070526123,123.572235107422,123.713424682617,119.471504211426,119.471504211426,121.854339599609,119.471504211426,119.471504211426,119.471504211426,111.66202545166,119.471504211426,66.7313003540039
X259.5,120.154899597168,72.9264755249023,65.6433944702148,59.4977912902832,81.0048294067383,81.0048294067383,81.0048294067383,85.8478469848633,59.4977912902832,70.4375610351562,67.1817779541016,67.1817779541016,82.427490234375,103.085182189941,81.4168395996094,90.4575271606445,101.164665222168,130.507171630859,113.01091003418,123.740081787109,129.255187988281,130.309829711914,130.309829711914,130.309829711914,130.103240966797,131.41520690918,129.255187988281,129.255187988281,130.661026000977,129.255187988281,129.255187988281,129.255187988281,120.154899597168,129.255187988281,67.1817779541016
X260.5,122.384315490723,69.730827331543,62.8467216491699,56.7321166992188,77.4376373291016,77.4376373291016,77.4376373291016,82.2124176025391,56.7321166992188,66.8853454589844,63.6200942993164,63.6200942993164,77.8872756958008,100.427543640137,76.7287902832031,85.1132888793945,96.0525054931641,127.91967010498,109.447395324707,120.349639892578,131.765060424805,128.504974365234,128.504974365234,128.504974365234,130.192947387695,132.496643066406,131.765060424805,131.765060424805,132.863632202148,131.765060424805,131.765060424805,131.765060424805,122.384315490723,131.765060424805,63.6200942993164
X261.5,132.791488647461,74.160026550293,67.2843704223633,60.8030624389648,82.0622634887695,82.0622634887695,82.0622634887695,86.5149688720703,60.8030624389648,71.7713928222656,67.570671081543,67.570671081543,81.6765365600586,104.289398193359,81.6965942382812,89.0417175292969,100.364318847656,135.028579711914,113.349113464355,125.568672180176,142.213439941406,136.761047363281,136.761047363281,136.761047363281,140.051742553711,143.134292602539,142.213439941406,142.213439941406,143.272216796875,142.213439941406,142.213439941406,142.213439941406,132.791488647461,142.213439941406,67.570671081543
