,CHORRILLOS,ACOBAMBA,MINA COLQUI,PUCRO,TINGO,SHEQUE,LA QUISHA,CARAMPOMA,MILLOC,LA PIRHUA,BELLAVISTA,CASAPALCA,RIO BLANCO,AUTISHA,SAN JOSE DE PARAC,TAMBORAQUE,MATUCANA,SANTA EULALIA,CANCHACALLA,CHAUTE,LIMATAMBO,CHOSICA,CHOSICA,LA CANTUTA, ANA,SANTA CLARA,RIMAC,SAN MARCOS,VON HUMBOLDT,CAMPO DE MARTE,MODELO CAMPO DE MARTE,HIPOLITO UNANUE,LAS PALMAS,LINCE,TICLIO
X252.5,22.0565395355225,14.4074430465698,12.9892349243164,11.418776512146,15.8011302947998,15.8011302947998,15.8011302947998,16.6665287017822,11.418776512146,13.4304170608521,12.622371673584,12.622371673584,15.1628437042236,20.0684623718262,14.9660358428955,16.7017402648926,18.3059005737305,24.4788722991943,20.7752933502197,23.3956069946289,24.4248523712158,24.5493259429932,24.5493259429932,24.5493259429932,25.3686656951904,26.4212417602539,24.4248523712158,24.4248523712158,25.4359340667725,24.4248523712158,24.4248523712158,24.4248523712158,22.0565395355225,24.4248523712158,12.622371673584
X253.5,24.0291271209717,14.2454204559326,12.8666324615479,11.2019319534302,15.7813129425049,15.7813129425049,15.7813129425049,16.5372467041016,11.2019319534302,13.3984689712524,12.4393444061279,12.4393444061279,15.2013607025146,19.6960945129395,15.2079811096191,16.7569675445557,18.3840293884277,25.3977794647217,20.6040325164795,23.3320064544678,26.5839977264404,26.0178813934326,26.0178813934326,26.0178813934326,27.3273086547852,28.6840763092041,26.5839977264404,26.5839977264404,27.7833995819092,26.5839977264404,26.5839977264404,26.5839977264404,24.0291271209717,26.5839977264404,12.4393444061279
X254.5,23.6971645355225,14.7528829574585,13.645001411438,12.0552101135254,16.2983512878418,16.2983512878418,16.2983512878418,16.7462902069092,12.0552101135254,14.1491250991821,12.7245817184448,12.7245817184448,15.4317483901978,19.4744567871094,15.7075891494751,16.9655170440674,18.612922668457,26.4115753173828,20.7770824432373,23.7908973693848,26.2624320983887,27.0234203338623,27.0234203338623,27.0234203338623,28.072925567627,29.6070709228516,26.2624320983887,26.2624320983887,28.5622615814209,26.2624320983887,26.2624320983887,26.2624320983887,23.6971645355225,26.2624320983887,12.7245817184448
X255.5,21.273998260498,14.7487869262695,13.6104497909546,11.9753122329712,16.6199531555176,16.6199531555176,16.6199531555176,16.8013496398926,11.9753122329712,14.8645801544189,13.5939416885376,13.5939416885376,16.6065902709961,19.742790222168,17.0824527740479,18.0139026641846,19.5845146179199,25.8495960235596,21.0713577270508,24.2217216491699,23.9691600799561,26.1014595031738,26.1014595031738,26.1014595031738,26.7496185302734,28.1850872039795,23.9691600799561,23.9691600799561,26.4326000213623,23.9691600799561,23.9691600799561,23.9691600799561,21.273998260498,23.9691600799561,13.5939416885376
X256.5,19.3163375854492,14.7380504608154,13.3600578308105,11.9050140380859,15.9911069869995,15.9911069869995,15.9911069869995,16.0545234680176,11.9050140380859,14.4901247024536,13.5070638656616,13.5070638656616,16.2668743133545,19.2348098754883,17.0109024047852,17.4578990936279,19.8506927490234,23.717887878418,19.9433288574219,22.9898738861084,21.2907485961914,23.6736717224121,23.6736717224121,23.6736717224121,23.9660758972168,24.8924140930176,21.2907485961914,21.2907485961914,23.4894771575928,21.2907485961914,21.2907485961914,21.2907485961914,19.3163375854492,21.2907485961914,13.5070638656616
X257.5,17.7309341430664,15.2147903442383,13.5873260498047,11.9138441085815,16.6278209686279,16.6278209686279,16.6278209686279,16.3406925201416,11.9138441085815,15.2960014343262,13.8923616409302,13.8923616409302,17.0631694793701,18.6312828063965,18.0472049713135,18.484676361084,20.6180534362793,21.8013114929199,19.5037937164307,21.8263683319092,19.1933937072754,21.1130218505859,21.1130218505859,21.1130218505859,20.6934795379639,20.8285026550293,19.1933937072754,19.1933937072754,20.0556163787842,19.1933937072754,19.1933937072754,19.1933937072754,17.7309341430664,19.1933937072754,13.8923616409302
X258.5,17.1342449188232,15.2584714889526,13.5312967300415,11.7854242324829,16.2207355499268,16.2207355499268,16.2207355499268,16.0572643280029,11.7854242324829,14.6713266372681,13.3253688812256,13.3253688812256,16.2249507904053,18.2621212005615,17.3384323120117,17.8790130615234,20.143497467041,21.5093727111816,19.0579681396484,21.3963527679443,18.2551212310791,20.7255897521973,20.7255897521973,20.7255897521973,19.9804573059082,19.7373676300049,18.2551212310791,18.2551212310791,18.9012908935547,18.2551212310791,18.2551212310791,18.2551212310791,17.1342449188232,18.2551212310791,13.3253688812256
X259.5,16.6876544952393,14.9197387695312,13.0751428604126,11.0976800918579,16.1722850799561,16.1722850799561,16.1722850799561,15.8742837905884,11.0976800918579,14.497730255127,12.858247756958,12.858247756958,16.1052894592285,17.996000289917,17.3449478149414,18.0190925598145,19.9019603729248,21.4391307830811,19.358793258667,21.442310333252,18.006290435791,20.7940711975098,20.7940711975098,20.7940711975098,20.1448535919189,19.9922504425049,18.006290435791,18.006290435791,18.9733982086182,18.006290435791,18.006290435791,18.006290435791,16.6876544952393,18.006290435791,12.858247756958
X260.5,16.1291465759277,16.0683746337891,13.8122158050537,11.6220932006836,17.2082233428955,17.2082233428955,17.2082233428955,17.3734588623047,11.6220932006836,14.5851125717163,13.0230073928833,13.0230073928833,16.4917583465576,19.9867820739746,17.3957786560059,18.7308940887451,21.149658203125,23.5439338684082,20.7188358306885,23.0759677886963,18.7763481140137,23.222749710083,23.222749710083,23.222749710083,22.737340927124,22.7423076629639,18.7763481140137,18.7763481140137,20.5027561187744,18.7763481140137,18.7763481140137,18.7763481140137,16.1291465759277,18.7763481140137,13.0230073928833
X261.5,17.764799118042,16.1415462493896,13.8606081008911,11.8009777069092,17.5854167938232,17.5854167938232,17.5854167938232,18.4781818389893,11.8009777069092,14.431173324585,13.3767375946045,13.3767375946045,17.4066200256348,21.3010425567627,17.1963882446289,19.7164134979248,21.9612007141113,24.6566772460938,21.8840007781982,24.0323829650879,19.5671463012695,24.3780689239502,24.3780689239502,24.3780689239502,24.0171737670898,24.3675117492676,19.5671463012695,19.5671463012695,21.7256126403809,19.5671463012695,19.5671463012695,19.5671463012695,17.764799118042,19.5671463012695,13.3767375946045
X262.5,19.49094581604,15.5866470336914,13.852370262146,12.3534545898438,16.8806381225586,16.8806381225586,16.8806381225586,17.8685512542725,12.3534545898438,14.3493013381958,13.6543188095093,13.6543188095093,16.9321384429932,21.0425548553467,16.3580055236816,18.8359489440918,21.2988586425781,24.2466144561768,21.7324733734131,23.6584568023682,21.313060760498,23.9616718292236,23.9616718292236,23.9616718292236,23.9699020385742,24.5209140777588,21.313060760498,21.313060760498,23.0435829162598,21.313060760498,21.313060760498,21.313060760498,19.49094581604,21.313060760498,13.6543188095093
X263.5,20.9372386932373,15.0453071594238,13.3172588348389,11.8886270523071,16.4580612182617,16.4580612182617,16.4580612182617,17.6777839660645,11.8886270523071,14.0007085800171,13.3437185287476,13.3437185287476,16.2589778900146,20.9739971160889,15.870795249939,17.9064273834229,19.4036293029785,24.5212097167969,21.7478466033936,23.8962364196777,23.2397193908691,24.1901473999023,24.1901473999023,24.1901473999023,24.4698276519775,25.2370014190674,23.2397193908691,23.2397193908691,24.239616394043,23.2397193908691,23.2397193908691,23.2397193908691,20.9372386932373,23.2397193908691,13.3437185287476
X264.5,22.6293430328369,14.4208736419678,12.9577579498291,11.35973072052,15.8272762298584,15.8272762298584,15.8272762298584,16.7824478149414,11.35973072052,13.3604879379272,12.5907068252563,12.5907068252563,15.2394428253174,20.3367366790771,14.9335374832153,16.7975177764893,18.4871368408203,24.5787239074707,20.9175720214844,23.5123901367188,24.9850463867188,24.6324157714844,24.6324157714844,24.6324157714844,25.4621658325195,26.5339069366455,24.9850463867188,24.9850463867188,25.9150142669678,24.9850463867188,24.9850463867188,24.9850463867188,22.6293430328369,24.9850463867188,12.5907068252563
X265.5,23.7392692565918,14.1515531539917,12.8694744110107,11.2928647994995,15.5966205596924,15.5966205596924,15.5966205596924,16.2605667114258,11.2928647994995,13.4300718307495,12.4244470596313,12.4244470596313,14.9881677627563,19.3517951965332,15.0956583023071,16.4669170379639,18.0556545257568,25.0407600402832,20.3431930541992,23.0535621643066,26.2073078155518,25.6122303009033,25.6122303009033,25.6122303009033,26.8433570861816,28.1400127410889,26.2073078155518,26.2073078155518,27.3970546722412,26.2073078155518,26.2073078155518,26.2073078155518,23.7392692565918,26.2073078155518,12.4244470596313
X266.5,23.2412147521973,15.0256605148315,13.9286909103394,12.3658542633057,16.5336780548096,16.5336780548096,16.5336780548096,17.0019454956055,12.3658542633057,14.4062099456787,13.0229768753052,13.0229768753052,15.7123250961304,19.7218341827393,15.9342880249023,17.2116584777832,18.8443775177002,26.1830291748047,20.9078540802002,23.752233505249,25.7327651977539,26.7091102600098,26.7091102600098,26.7091102600098,27.6644287109375,29.1560211181641,25.7327651977539,25.7327651977539,28.0093078613281,25.7327651977539,25.7327651977539,25.7327651977539,23.2412147521973,25.7327651977539,13.0229768753052
X267.5,21.4503059387207,15.2422285079956,14.1495132446289,12.5902347564697,17.0426559448242,17.0426559448242,17.0426559448242,17.2398147583008,12.5902347564697,15.3453578948975,14.1562585830688,14.1562585830688,17.0797386169434,20.1267585754395,17.4886245727539,18.4119186401367,19.9423809051514,25.9888916015625,21.4980201721191,24.5048675537109,24.0416030883789,26.1842975616455,26.1842975616455,26.1842975616455,26.7692050933838,28.1384296417236,24.0416030883789,24.0416030883789,26.3828296661377,24.0416030883789,24.0416030883789,24.0416030883789,21.4503059387207,24.0416030883789,14.1562585830688
X268.5,19.5918884277344,15.387547492981,13.9666948318481,12.5038776397705,16.646411895752,16.646411895752,16.646411895752,16.8123931884766,12.5038776397705,14.981559753418,14.1500024795532,14.1500024795532,16.9927520751953,20.0568103790283,17.5586376190186,18.1723861694336,20.5735569000244,24.4151172637939,20.7633666992188,23.7261772155762,21.7068424224854,24.3541831970215,24.3541831970215,24.3541831970215,24.6214046478271,25.5129699707031,21.7068424224854,21.7068424224854,23.9734764099121,21.7068424224854,21.7068424224854,21.7068424224854,19.5918884277344,21.7068424224854,14.1500024795532
X269.5,18.4219150543213,15.7624092102051,13.9940376281738,12.2166376113892,17.2448348999023,17.2448348999023,17.2448348999023,17.0444602966309,12.2166376113892,15.6600904464722,14.3338632583618,14.3338632583618,17.5886898040771,19.409366607666,18.596607208252,19.1754722595215,21.2254390716553,22.5888996124268,20.5708961486816,22.8116340637207,20.0422286987305,21.8230895996094,21.8230895996094,21.8230895996094,21.3751983642578,21.5114307403564,20.0422286987305,20.0422286987305,20.7387065887451,20.0422286987305,20.0422286987305,20.0422286987305,18.4219150543213,20.0422286987305,14.3338632583618
X270.5,18.310884475708,16.7268543243408,14.9065313339233,13.092191696167,17.7408256530762,17.7408256530762,17.7408256530762,17.6535682678223,13.092191696167,16.0139656066895,14.7311182022095,14.7311182022095,17.7648639678955,19.8663940429688,18.8263626098633,19.5090084075928,21.7540988922119,22.5667629241943,20.6533946990967,22.7475547790527,19.3949584960938,21.6663703918457,21.6663703918457,21.6663703918457,20.8536643981934,20.5882015228271,19.3949584960938,19.3949584960938,19.7674980163574,19.3949584960938,19.3949584960938,19.3949584960938,18.310884475708,19.3949584960938,14.7311182022095
X271.5,17.677095413208,16.5566444396973,14.7220821380615,12.8051843643188,17.7961673736572,17.7961673736572,17.7961673736572,17.6434555053711,12.8051843643188,15.9666728973389,14.585620880127,14.585620880127,17.8918266296387,19.7369937896729,18.8125228881836,19.6961822509766,21.6065044403076,22.2279605865479,20.7026271820068,22.4185123443604,18.7384357452393,21.5102882385254,21.5102882385254,21.5102882385254,20.7523365020752,20.6079750061035,18.7384357452393,18.7384357452393,19.35133934021,18.7384357452393,18.7384357452393,18.7384357452393,17.677095413208,18.7384357452393,14.585620880127
X272.5,17.4230155944824,16.9615154266357,14.6549806594849,12.4817981719971,18.1646156311035,18.1646156311035,18.1646156311035,18.5395565032959,12.4817981719971,15.2588329315186,14.0250520706177,14.0250520706177,17.793436050415,21.3198661804199,18.2029647827148,19.9339408874512,22.4654178619385,24.21604347229,21.9515171051025,23.9971389770508,19.8025875091553,23.7206840515137,23.7206840515137,23.7206840515137,23.0476589202881,23.061071395874,19.8025875091553,19.8025875091553,21.059627532959,19.8025875091553,19.8025875091553,19.8025875091553,17.4230155944824,19.8025875091553,14.0250520706177
X273.5,19.1070346832275,16.7262725830078,14.3833751678467,12.2944889068604,18.1957569122314,18.1957569122314,18.1957569122314,19.1319007873535,12.2944889068604,14.8942079544067,13.9301300048828,13.9301300048828,17.9386978149414,21.8724517822266,17.7374572753906,20.2877063751221,22.5968017578125,24.2647914886475,21.9847793579102,23.8677806854248,21.0095920562744,24.0412826538086,24.0412826538086,24.0412826538086,23.851655960083,24.210485458374,21.0095920562744,21.0095920562744,22.4315185546875,21.0095920562744,21.0095920562744,21.0095920562744,19.1070346832275,21.0095920562744,13.9301300048828
X274.5,20.6547260284424,16.1643581390381,14.2805299758911,12.6736421585083,17.5100269317627,17.5100269317627,17.5100269317627,18.5720539093018,12.6736421585083,14.6999044418335,14.0683670043945,14.0683670043945,17.2533702850342,21.4955368041992,16.8648509979248,19.4136390686035,21.544059753418,24.1295776367188,22.0475234985352,23.6957569122314,22.8015079498291,23.9119625091553,23.9119625091553,23.9119625091553,24.0269184112549,24.6209907531738,22.8015079498291,22.8015079498291,23.7646789550781,22.8015079498291,22.8015079498291,22.8015079498291,20.6547260284424,22.8015079498291,14.0683670043945
X275.5,23.8849449157715,15.839054107666,14.0400018692017,12.5834999084473,17.2838878631592,17.2838878631592,17.2838878631592,18.6550960540771,12.5834999084473,14.6003913879395,14.12610912323,14.12610912323,17.3297252655029,22.2385520935059,16.5971870422363,18.9028301239014,20.6974334716797,26.0375862121582,22.8788890838623,25.1405639648438,26.0402526855469,25.9074764251709,25.9074764251709,25.9074764251709,26.4138946533203,27.2055644989014,26.0402526855469,26.0402526855469,26.7476119995117,26.0402526855469,26.0402526855469,26.0402526855469,23.8849449157715,26.0402526855469,14.12610912323
X276.5,26.2547359466553,16.8910064697266,15.5213117599487,14.0665769577026,18.222806930542,18.222806930542,18.222806930542,19.1864719390869,14.0665769577026,15.8018465042114,15.2917804718018,15.2917804718018,17.9256572723389,22.694896697998,17.3769378662109,19.2686138153076,20.9781379699707,27.243968963623,23.4690570831299,26.0222454071045,28.3019905090332,27.4417457580566,27.4417457580566,27.4417457580566,28.3348140716553,29.3234958648682,28.3019905090332,28.3019905090332,28.9592113494873,28.3019905090332,28.3019905090332,28.3019905090332,26.2547359466553,28.3019905090332,15.2917804718018
X277.5,27.0390777587891,16.6447792053223,15.3517532348633,13.7926568984985,18.0678844451904,18.0678844451904,18.0678844451904,18.6758880615234,13.7926568984985,15.8285264968872,14.9462003707886,14.9462003707886,17.4706592559814,22.3805809020996,17.5704689025879,18.8022766113281,20.8391094207764,27.1385631561279,22.5662784576416,24.9446067810059,29.2336139678955,28.0512561798096,28.0512561798096,28.0512561798096,29.4520206451416,30.7303638458252,29.2336139678955,29.2336139678955,29.6076793670654,29.2336139678955,29.2336139678955,29.2336139678955,27.0390777587891,29.2336139678955,14.9462003707886
X278.5,26.6740779876709,16.5595149993896,15.4338874816895,13.8838891983032,18.0669078826904,18.0669078826904,18.0669078826904,18.5979194641113,13.8838891983032,15.8044519424438,14.6064958572388,14.6064958572388,17.3625068664551,21.3658485412598,17.4186725616455,18.8077621459961,20.5087184906006,28.3221645355225,22.6133136749268,25.6470375061035,28.914306640625,28.9837417602539,28.9837417602539,28.9837417602539,30.0599727630615,31.5287761688232,28.914306640625,28.914306640625,30.7544918060303,28.914306640625,28.914306640625,28.914306640625,26.6740779876709,28.914306640625,14.6064958572388
X279.5,25.1044769287109,16.7215347290039,15.5088310241699,13.9221706390381,18.5545406341553,18.5545406341553,18.5545406341553,18.9763851165771,13.9221706390381,16.4437427520752,15.6369123458862,15.6369123458862,19.0352344512939,22.4311122894287,18.7847347259521,20.1506958007812,22.3279476165771,28.1439895629883,23.2188453674316,26.2998886108398,27.76686668396,28.5211391448975,28.5211391448975,28.5211391448975,29.2660160064697,30.6232681274414,27.76686668396,27.76686668396,29.5842895507812,27.76686668396,27.76686668396,27.76686668396,25.1044769287109,27.76686668396,15.6369123458862
