,CHORRILLOS,ACOBAMBA,MINA COLQUI,PUCRO,TINGO,SHEQUE,LA QUISHA,CARAMPOMA,MILLOC,LA PIRHUA,BELLAVISTA,CASAPALCA,RIO BLANCO,AUTISHA,SAN JOSE DE PARAC,TAMBORAQUE,MATUCANA,SANTA EULALIA,CANCHACALLA,CHAUTE,LIMATAMBO,CHOSICA,CHOSICA,LA CANTUTA, ANA,SANTA CLARA,RIMAC,SAN MARCOS,VON HUMBOLDT,CAMPO DE MARTE,MODELO CAMPO DE MARTE,HIPOLITO UNANUE,LAS PALMAS,LINCE,TICLIO
X252.5,19.770299911499,9.31474304199219,8.01273274421692,6.78698647022247,10.8292729854584,10.8292729854584,10.8292729854584,11.7173938751221,6.78698647022247,8.72154068946838,8.02150201797485,8.02150201797485,10.5343825817108,15.0715289115906,10.4814529418945,12.0067000389099,14.0024666786194,20.6028432846069,16.5863456726074,18.9265923500061,21.6337614059448,20.8048839569092,20.8048839569092,20.8048839569092,21.4036846160889,21.9672737121582,21.6337614059448,21.6337614059448,21.7339286804199,21.6337614059448,21.6337614059448,21.6337614059448,19.770299911499,21.6337614059448,8.02150201797485
X253.5,21.6540002822876,9.83444976806641,8.41362643241882,7.0211079120636,11.4197897911072,11.4197897911072,11.4197897911072,12.3172068595886,7.0211079120636,9.3442211151123,8.50296187400818,8.50296187400818,11.3255181312561,15.3607625961304,11.4654338359833,12.8283767700195,14.7277822494507,21.3822765350342,16.8891220092773,19.1340022087097,23.6052827835083,22.1689872741699,22.1689872741699,22.1689872741699,23.2041931152344,23.9818344116211,23.6052827835083,23.6052827835083,23.9383335113525,23.6052827835083,23.6052827835083,23.6052827835083,21.6540002822876,23.6052827835083,8.50296187400818
X254.5,20.8915071487427,9.88181281089783,8.62833476066589,7.20216524600983,11.4906096458435,11.4906096458435,11.4906096458435,12.0622992515564,7.20216524600983,9.51436996459961,8.37752962112427,8.37752962112427,11.1876685619354,14.8266763687134,11.5095403194427,12.7410073280334,14.6959662437439,21.7041988372803,16.6725573539734,19.0828685760498,23.1209325790405,22.5584516525269,22.5584516525269,22.5584516525269,23.4578065872192,24.3093242645264,23.1209325790405,23.1209325790405,24.0605306625366,23.1209325790405,23.1209325790405,23.1209325790405,20.8915071487427,23.1209325790405,8.37752962112427
X255.5,18.9339056015015,9.31776583194733,8.10836815834045,6.76475250720978,10.8680386543274,10.8680386543274,10.8680386543274,11.5896294116974,6.76475250720978,9.07313632965088,7.92886900901794,7.92886900901794,10.8211317062378,14.7179112434387,11.1296789646149,12.339207649231,14.6076674461365,21.1934270858765,16.2653450965881,19.0376267433167,20.9991722106934,21.6676368713379,21.6676368713379,21.6676368713379,22.0998334884644,22.8643445968628,20.9991722106934,20.9991722106934,21.8361253738403,20.9991722106934,20.9991722106934,20.9991722106934,18.9339056015015,20.9991722106934,7.92886900901794
X256.5,17.1883473396301,8.43501317501068,7.08659574389458,6.0457542091608,9.75097548961639,9.75097548961639,9.75097548961639,10.5789535045624,6.0457542091608,7.96419793367386,6.98433585464954,6.98433585464954,9.85100090503693,14.3062510490417,10.1751973628998,11.2838091850281,14.262261390686,19.6330804824829,15.417573928833,18.1558361053467,18.4737319946289,19.7779951095581,19.7779951095581,19.7779951095581,19.4713754653931,19.7078318595886,18.4737319946289,18.4737319946289,18.9827156066895,18.4737319946289,18.4737319946289,18.4737319946289,17.1883473396301,18.4737319946289,6.98433585464954
X257.5,15.6009149551392,8.25778329372406,6.71039038896561,5.60939997434616,9.59573149681091,9.59573149681091,9.59573149681091,10.4542887210846,5.60939997434616,7.65538784908131,6.46892073750496,6.46892073750496,9.49659925699234,13.821159362793,9.86613291501999,10.9350124597549,14.0397329330444,17.8562865257263,14.3551578521729,16.6875462532043,16.9974346160889,17.7097029685974,17.7097029685974,17.7097029685974,17.1567006111145,16.9160885810852,16.9974346160889,16.9974346160889,16.6085023880005,16.9974346160889,16.9974346160889,16.9974346160889,15.6009149551392,16.9974346160889,6.46892073750496
X258.5,14.9211964607239,7.84429997205734,6.23067897558212,4.92564964294434,9.21270275115967,9.21270275115967,9.21270275115967,9.76009654998779,4.92564964294434,7.29873839393258,6.13216537237167,6.13216537237167,9.2077157497406,13.0190317630768,9.81939661502838,10.9767169952393,13.9526851177216,17.5834593772888,14.3226065635681,16.5655512809753,16.3660182952881,17.2327418327332,17.2327418327332,17.2327418327332,16.5970544815063,16.2925763130188,16.3660182952881,16.3660182952881,15.9141674041748,16.3660182952881,16.3660182952881,16.3660182952881,14.9211964607239,16.3660182952881,6.13216537237167
X259.5,14.8061199188232,7.81076788902283,6.2086795270443,4.76345664262772,9.2290974855423,9.2290974855423,9.2290974855423,9.64108657836914,4.76345664262772,7.41453093290329,6.1024374961853,6.1024374961853,9.18415701389313,12.7188756465912,9.92310321331024,11.0156939029694,13.6977698802948,17.3936791419983,14.3751711845398,16.4614443778992,16.1872310638428,17.1452708244324,17.1452708244324,17.1452708244324,16.6153583526611,16.3764414787292,16.1872310638428,16.1872310638428,16.0895590782166,16.1872310638428,16.1872310638428,16.1872310638428,14.8061199188232,16.1872310638428,6.1024374961853
X260.5,14.5575284957886,8.66861921548843,6.79899504035711,5.16132205724716,10.2316302061081,10.2316302061081,10.2316302061081,10.7012047767639,5.16132205724716,8.0858491063118,6.72711005806923,6.72711005806923,10.1011016368866,13.8814444541931,10.8018746376038,12.1467998027802,14.7204270362854,18.7328004837036,15.5698590278625,17.7452464103699,16.5367965698242,18.5003576278687,18.5003576278687,18.5003576278687,18.0269865989685,17.898745059967,16.5367965698242,16.5367965698242,16.9464793205261,16.5367965698242,16.5367965698242,16.5367965698242,14.5575284957886,16.5367965698242,6.72711005806923
X261.5,15.791307926178,9.45931029319763,7.76416420936584,6.3492773771286,11.1207790374756,11.1207790374756,11.1207790374756,11.9948093891144,6.3492773771286,8.778564453125,7.82152462005615,7.82152462005615,11.2417407035828,15.2349467277527,11.2604761123657,13.1964600086212,15.6477813720703,19.8463664054871,16.6666049957275,18.7180156707764,17.4180154800415,19.5916047096252,19.5916047096252,19.5916047096252,19.232298374176,19.3524312973022,17.4180154800415,17.4180154800415,18.0811052322388,17.4180154800415,17.4180154800415,17.4180154800415,15.791307926178,17.4180154800415,7.82152462005615
X262.5,17.4146785736084,9.10954535007477,7.60829430818558,6.42370484769344,10.76775598526,10.76775598526,10.76775598526,11.649697303772,6.42370484769344,8.72622358798981,7.9292768239975,7.9292768239975,11.1629531383514,15.0998544692993,10.9497973918915,12.9396097660065,15.3352909088135,19.9755659103394,16.8439016342163,18.8114800453186,18.8198213577271,19.7589011192322,19.7589011192322,19.7589011192322,19.5053448677063,19.5296001434326,18.8198213577271,18.8198213577271,19.1738905906677,18.8198213577271,18.8198213577271,18.8198213577271,17.4146785736084,18.8198213577271,7.9292768239975
X263.5,18.8688440322876,9.86265087127686,8.49820697307587,7.29424023628235,11.39075756073,11.39075756073,11.39075756073,12.324547290802,7.29424023628235,9.4830207824707,8.7479944229126,8.7479944229126,11.459778547287,15.6229429244995,11.4559483528137,13.013952255249,14.859185218811,20.6657562255859,17.2829718589783,19.3035182952881,20.6932773590088,20.5984592437744,20.5984592437744,20.5984592437744,20.5631294250488,20.9221029281616,20.6932773590088,20.6932773590088,20.7573709487915,20.6932773590088,20.6932773590088,20.6932773590088,18.8688440322876,20.6932773590088,8.7479944229126
X264.5,20.2180995941162,9.46981644630432,8.15904653072357,6.92353308200836,10.9782989025116,10.9782989025116,10.9782989025116,11.8861360549927,6.92353308200836,8.87796068191528,8.14418792724609,8.14418792724609,10.6538381576538,15.2736949920654,10.6226007938385,12.1508507728577,14.1580696105957,20.7428932189941,16.6993322372437,19.0478825569153,22.0551624298096,20.9406042098999,20.9406042098999,20.9406042098999,21.5475854873657,22.1283884048462,22.0551624298096,22.0551624298096,22.1149549484253,22.0551624298096,22.0551624298096,22.0551624298096,20.2180995941162,22.0551624298096,8.14418792724609
X265.5,21.2370519638062,9.55516123771667,8.17314374446869,6.81784462928772,11.1140835285187,11.1140835285187,11.1140835285187,11.9723229408264,6.81784462928772,9.13864898681641,8.26455593109131,8.26455593109131,11.0128736495972,15.002224445343,11.2089145183563,12.490795135498,14.3980073928833,21.0681238174438,16.5932645797729,18.824718952179,23.1775960922241,21.847092628479,21.847092628479,21.847092628479,22.8511323928833,23.5934839248657,23.1775960922241,23.1775960922241,23.5501861572266,23.1775960922241,23.1775960922241,23.1775960922241,21.2370519638062,23.1775960922241,8.26455593109131
