,CHORRILLOS,ACOBAMBA,MINA COLQUI,PUCRO,TINGO,SHEQUE,LA QUISHA,CARAMPOMA,MILLOC,LA PIRHUA,BELLAVISTA,CASAPALCA,RIO BLANCO,AUTISHA,SAN JOSE DE PARAC,TAMBORAQUE,MATUCANA,SANTA EULALIA,CANCHACALLA,CHAUTE,LIMATAMBO,CHOSICA,CHOSICA,LA CANTUTA, ANA,SANTA CLARA,RIMAC,SAN MARCOS,VON HUMBOLDT,CAMPO DE MARTE,MODELO CAMPO DE MARTE,HIPOLITO UNANUE,LAS PALMAS,LINCE,TICLIO
X252.5,17.4840602874756,4.22204303741455,3.03623056411743,2.15519642829895,5.85741567611694,5.85741567611694,5.85741567611694,6.76825904846191,2.15519642829895,4.01266431808472,3.42063236236572,3.42063236236572,5.905921459198,10.074595451355,5.99687004089355,7.31165981292725,9.6990327835083,16.7268142700195,12.3973979949951,14.4575777053833,18.8426704406738,17.0604419708252,17.0604419708252,17.0604419708252,17.4387035369873,17.5133056640625,18.8426704406738,18.8426704406738,18.0319232940674,18.8426704406738,18.8426704406738,18.8426704406738,17.4840602874756,18.8426704406738,3.42063236236572
X253.5,19.2788734436035,5.4234790802002,3.96062040328979,2.84028387069702,7.05826663970947,7.05826663970947,7.05826663970947,8.09716701507568,2.84028387069702,5.28997325897217,4.56657934188843,4.56657934188843,7.44967555999756,11.0254306793213,7.72288656234741,8.8997859954834,11.0715351104736,17.3667736053467,13.1742115020752,14.9359979629517,20.6265678405762,18.3200931549072,18.3200931549072,18.3200931549072,19.0810775756836,19.2795925140381,20.6265678405762,20.6265678405762,20.0932674407959,20.6265678405762,20.6265678405762,20.6265678405762,19.2788734436035,20.6265678405762,4.56657934188843
X254.5,18.0858497619629,5.01074266433716,3.6116681098938,2.34912037849426,6.68286800384521,6.68286800384521,6.68286800384521,7.37830829620361,2.34912037849426,4.87961483001709,4.03047752380371,4.03047752380371,6.9435887336731,10.1788959503174,7.3114914894104,8.51649761199951,10.7790098190308,16.9968223571777,12.5680322647095,14.3748397827148,19.9794330596924,18.0934829711914,18.0934829711914,18.0934829711914,18.8426876068115,19.0115776062012,19.9794330596924,19.9794330596924,19.5587997436523,19.9794330596924,19.9794330596924,19.9794330596924,18.0858497619629,19.9794330596924,4.03047752380371
X255.5,16.5938129425049,3.88674473762512,2.60628652572632,1.55419278144836,5.11612415313721,5.11612415313721,5.11612415313721,6.3779091835022,1.55419278144836,3.28169250488281,2.26379632949829,2.26379632949829,5.03567314147949,9.69303226470947,5.17690515518188,6.66451263427734,9.63082027435303,16.5372581481934,11.4593324661255,13.8535318374634,18.0291843414307,17.233814239502,17.233814239502,17.233814239502,17.4500484466553,17.5436019897461,18.0291843414307,18.0291843414307,17.2396507263184,18.0291843414307,18.0291843414307,18.0291843414307,16.5938129425049,18.0291843414307,2.26379632949829
X256.5,15.060357093811,2.13197588920593,0.813133656978607,0.186494380235672,3.51084399223328,3.51084399223328,3.51084399223328,5.10338354110718,0.186494380235672,1.4382711648941,0.461607843637466,0.461607843637466,3.43512749671936,9.37769222259521,3.3394923210144,5.10971927642822,8.67383003234863,15.5482730865479,10.8918190002441,13.321798324585,15.6567153930664,15.8823184967041,15.8823184967041,15.8823184967041,14.9766750335693,14.5232496261597,15.6567153930664,15.6567153930664,14.4759540557861,15.6567153930664,15.6567153930664,15.6567153930664,15.060357093811,15.6567153930664,0.461607843637466
X257.5,13.4708957672119,1.30077624320984,-0.166545271873474,-0.695044159889221,2.5636420249939,2.5636420249939,2.5636420249939,4.56788492202759,-0.695044159889221,0.0147742638364434,-0.954520165920258,-0.954520165920258,1.93002903461456,9.01103591918945,1.6850608587265,3.3853485584259,7.46141242980957,13.9112615585327,9.20652198791504,11.5487241744995,14.8014755249023,14.3063840866089,14.3063840866089,14.3063840866089,13.6199216842651,13.0036745071411,14.8014755249023,14.8014755249023,13.1613883972168,14.8014755249023,14.8014755249023,14.8014755249023,13.4708957672119,14.8014755249023,-0.954520165920258
X258.5,12.7081480026245,0.430128455162048,-1.06993877887726,-1.93412494659424,2.20466995239258,2.20466995239258,2.20466995239258,3.46292877197266,-1.93412494659424,-0.0738498494029045,-1.06103813648224,-1.06103813648224,2.19048070907593,7.77594232559204,2.30036091804504,4.07442092895508,7.7618727684021,13.657546043396,9.58724498748779,11.7347497940063,14.4769153594971,13.739893913269,13.739893913269,13.739893913269,13.2136516571045,12.8477849960327,14.4769153594971,14.4769153594971,12.9270439147949,14.4769153594971,14.4769153594971,14.4769153594971,12.7081480026245,14.4769153594971,-1.06103813648224
X259.5,12.9245853424072,0.701797008514404,-0.657783806324005,-1.57076680660248,2.28590989112854,2.28590989112854,2.28590989112854,3.4078893661499,-1.57076680660248,0.331331610679626,-0.653372764587402,-0.653372764587402,2.26302456855774,7.44175100326538,2.50125861167908,4.01229524612427,7.49357938766479,13.3482275009155,9.3915491104126,11.4805784225464,14.3681716918945,13.496470451355,13.496470451355,13.496470451355,13.0858631134033,12.7606325149536,14.3681716918945,14.3681716918945,13.2057199478149,14.3681716918945,14.3681716918945,14.3681716918945,12.9245853424072,14.3681716918945,-0.653372764587402
X260.5,12.9859104156494,1.26886379718781,-0.214225724339485,-1.29944908618927,3.25503706932068,3.25503706932068,3.25503706932068,4.02895069122314,-1.29944908618927,1.58658564090729,0.431212723255157,0.431212723255157,3.71044492721558,7.77610683441162,4.20797061920166,5.56270551681519,8.2911958694458,13.921667098999,10.4208822250366,12.4145250320435,14.2972450256348,13.7779655456543,13.7779655456543,13.7779655456543,13.316632270813,13.0551824569702,14.2972450256348,14.2972450256348,13.3902025222778,14.2972450256348,14.2972450256348,14.2972450256348,12.9859104156494,14.2972450256348,0.431212723255157
X261.5,13.817816734314,2.77707433700562,1.66772031784058,0.897577047348022,4.65614128112793,4.65614128112793,4.65614128112793,5.5114369392395,0.897577047348022,3.12595558166504,2.26631164550781,2.26631164550781,5.07686138153076,9.16885089874268,5.32456398010254,6.67650651931763,9.3343620300293,15.0360555648804,11.4492092132568,13.4036483764648,15.2688846588135,14.8051404953003,14.8051404953003,14.8051404953003,14.4474229812622,14.3373508453369,15.2688846588135,15.2688846588135,14.4365978240967,15.2688846588135,15.2688846588135,15.2688846588135,13.817816734314,15.2688846588135,2.26631164550781
