NN,XX,YY
TOROYA,-70.3544,-15.716
ILLPA,-70.0833,-15.6833
UMAYO,-70.1372,-15.7223
MANAZO,-70.3419,-15.8036
MANAZO,-70.3333,-15.8
CAPACHICA,-69.8321,-15.6064
LLACHAHUI,-69.9537,-15.5023
YOCARA,-70.1873,-15.57
LAMPA,-70.3833,-15.3667
CHAMPICANCHI,-70.5159,-15.4116
LAMPA,-70.3648,-15.3633
JARPANA,-70.7833,-15.5167
PAMPA UTA,-70.6833,-15.4833
PAMPAHUTA,-70.6758,-15.4835
PARATIA,-70.6,-15.45
QUILLISANI,-70.7667,-15.3667
QUILLISANI,-70.75,-15.3833
ANDAMARCA,-70.5943,-15.5564
HACIENDA COLINI,-70.8833,-15.65
HACIENDA PINAYA,-70.9167,-15.5833
LAGUNILLAS,-70.609,-15.7006
SANTA LUCIA,-70.6089,-15.7006
SANTA LUCIA,-70.6,-15.7
ANTIPAMPILLA,-70.2833,-15.4833
JULIACA,-70.1667,-15.4667
JULIACA (MOCAYACHE),-70.2078,-15.4442
JULIACA (MOCAYACHE),-70.2078,-15.4442
CABANILLAS,-70.3462,-15.6391
CARAVELI,-73.3614,-15.7711
YANAQUIHUA,-72.8828,-15.7831
YANAQUIHUA,-72.8833,-15.7667
URAYHUMA,-73.5667,-14.6
CHINCHAYLLAPA,-72.7333,-14.9167
PUICA,-72.6667,-15.0667
SAIROSA,-72.6667,-14.9167
LAMPA,-73.3333,-15.1833
AYAHUASI (PULHUAY),-72.7528,-15.1358
TOMEPAMPA,-72.8333,-15.1833
COTAHUASI,-72.8908,-15.2078
ARMA,-72.7667,-15.4
SALAMANCA,-72.8333,-15.5
SALAMANCA,-72.8333,-15.5
PAUSA,-73.3333,-15.2667
CHICHAS,-72.9164,-15.5444
URASQUI,-73.1667,-16.0333
OCOAA,-73.1,-16.4333
ACOYPAMPA,-72.7667,-15.7333
ESBILLA,-72.75,-16
PAMPA GRANDE,-73.05,-16.1833
PUNTA ATICO,-73.6942,-16.2283
INCUYO,-73.5667,-15.25
TARCO,-73.75,-15.3
LARAMARCA,-75.0333,-13.95
CORDOVA,-75.1667,-14.0333
LLAUTA,-74.9167,-14.2333
LARAMATE,-74.8333,-14.3
HUAC-HUAS,-74.9406,-14.1319
PAMPA BLANCA,-75.1036,-14.2369
RIO GRANDE,-75.2167,-14.5333
OCAAA,-74.8167,-14.4
UCHUYTAMBO,-74.7,-14.3167
JASSU,-74.3333,-14.6667
PAMPA GALERAS,-74.4,-14.6667
EL CARMEN,-75.2333,-14.4667
OTOCA,-74.6833,-14.4833
PEDREGAL,-74.4333,-14.4167
PALPA,-75.1869,-14.5333
SAN BORJA,-75.1667,-14.5167
HACIENDA HUAYURI,-75.1833,-14.5833
INGENIO (HUALLPOCA),-74.9561,-14.6333
SAN JAVIER,-75.1833,-14.6667
PANGARAVI,-74.6167,-14.8333
HACIENDA MAJORO,-74.9667,-14.8333
NAZCA,-74.9333,-14.8333
COPARA,-74.9,-14.9667
CHALA,-74.2447,-15.865
CHALA,-74.2482,-15.8483
CHAPARRA,-73.8667,-15.75
SANTA LUCIA,-74.5167,-14.9667
PUNTA SAN JUAN,-75.1833,-15.3667
SAN JUAN,-75.1333,-15.3333
