,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/01/1981,184.1426697,152.7402344,95.11569214,148.6085052,118.4113083,128.8087158,148.6085052,123.872467
1/02/1981,227.1030884,216.3327026,116.1057968,237.4306488,183.9280243,152.8191833,237.4306488,264.3068237
1/03/1981,174.3916626,152.7069397,104.0749283,155.6199188,115.2568665,142.4035492,155.6199188,140.3392792
1/04/1981,16.62969208,9.940365791,5.191701889,19.2106514,11.43697739,11.08034611,19.2106514,22.39247894
1/05/1981,0.705338836,0.524753988,0.156804562,1.115021944,0.42933777,0.458469003,1.115021944,2.179484844
1/06/1981,0.547285318,0.722929299,0.59352529,2.661533594,1.267782211,0.357857466,2.661533594,3.495892525
1/07/1981,6.057346344,2.459866047,0.486415744,7.172665119,0.851589739,0.307397693,7.172665119,6.179461002
1/08/1981,28.89981461,11.87837791,3.968792439,20.26493835,7.755887032,6.747490883,20.26493835,22.25206947
1/09/1981,17.60549545,11.80153942,5.790784359,15.34402084,14.99001884,7.238909245,15.34402084,19.52050591
1/10/1981,70.58715057,50.21921158,18.70137978,64.95173645,40.53171158,25.08277321,64.95173645,99.29711151
1/11/1981,123.85923,80.24615479,30.39300156,96.98159027,86.17992401,44.69919968,96.98159027,126.1739273
1/12/1981,156.9096375,108.6132889,72.01888275,123.7896423,112.714653,101.5477676,123.7896423,131.7909088
1/01/1982,154.8426666,142.6195221,86.10366058,134.6046906,121.5756989,119.15625,134.6046906,109.5436096
1/02/1982,200.2779388,181.0159454,103.300705,203.7393188,164.1700897,136.1352539,203.7393188,218.3443451
1/03/1982,101.6837921,92.50556946,73.11557007,95.86807251,83.60876465,83.05880737,95.86807251,94.87534332
1/04/1982,64.68279266,35.87691879,14.63346577,57.0500412,31.70525932,25.73125839,57.0500412,71.2983017
1/05/1982,0.951185465,0.902915776,0.464896858,2.515155315,0.968723178,0.615524888,2.515155315,2.577162027
1/06/1982,0.727280617,0.807931781,0.617249131,2.781657457,1.418711185,0.444792211,2.781657457,4.631917477
1/07/1982,10.33242416,4.648408413,1.931707263,9.125632286,3.044056654,2.287763596,9.125632286,11.62343407
1/08/1982,19.43928146,7.838393688,1.410271883,14.70526123,2.397708654,1.597302198,14.70526123,13.6505518
1/09/1982,35.51665115,19.90678596,6.36496067,29.02423477,14.18875408,6.037906647,29.02423477,40.07112503
1/10/1982,108.1037903,47.43785477,10.5805788,95.81723022,50.88825989,33.81170654,95.81723022,133.6278992
1/11/1982,139.4385071,95.835289,40.63443756,118.5914459,93.08478546,59.4120369,118.5914459,118.8156586
1/12/1982,65.46122742,37.5536232,19.4587059,59.93775558,45.25895309,26.36286736,59.93775558,84.80930328
1/01/1983,136.8862305,94.4324646,39.83953476,102.222168,79.62997437,64.48401642,102.222168,89.98540497
1/02/1983,61.86253738,63.58129883,55.92468643,57.60661316,73.88561249,79.70215607,57.60661316,70.18434143
1/03/1983,157.5279236,149.8362732,128.3656616,137.6163025,114.6166306,161.7450562,137.6163025,120.721611
1/04/1983,71.29922485,49.29840469,30.96234512,63.66075897,44.99778366,64.8422699,63.66075897,65.16138458
1/05/1983,7.656187057,5.627240181,2.075917006,12.88235664,5.725092888,4.055438519,12.88235664,10.03137684
1/06/1983,9.940795898,6.340183258,2.381469488,16.82486153,8.867477417,3.751562357,16.82486153,23.06258011
1/07/1983,0.831933379,0.233979896,0.045481164,0.605341792,0.23671867,0.362709761,0.605341792,2.048070669
1/08/1983,0.564745724,0.350991219,0.209583595,0.479736507,0.32719937,0.555308521,0.479736507,1.507010341
1/09/1983,44.38985825,21.157547,7.104043007,33.76879501,23.47344398,11.98670959,33.76879501,48.91091156
1/10/1983,73.01065063,43.46023178,14.7655983,59.82168198,34.63636398,25.47966385,59.82168198,91.11553192
1/11/1983,41.2964859,29.94506836,16.66867065,40.43709183,34.4455719,20.36667252,40.43709183,54.67895889
1/12/1983,206.6718292,128.3796234,71.82095337,173.5875854,129.9354553,121.4473267,173.5875854,159.4982758
1/01/1984,133.1182709,121.7101822,72.25405884,128.0847168,100.2019348,103.2591858,128.0847168,96.08370972
1/02/1984,275.0744934,266.4527588,180.2825775,263.9798279,234.7702484,279.8824158,263.9798279,269.4858704
